subject,body,Model,Q1,Q2,Q3,Q4,Human
Re: Urgent Wire Processing,"Hi Jennifer, Can you please prioritize processing the wire transfer we discussed? Let me know once it's been sent. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our conversation, I have completed negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly confirm once it has been initiated. Thank you, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Processing Request,"Hi Jennifer, Can you please process a wire transfer urgently for me? Let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Hi Jennifer, Can you please process a wire transfer urgently for me? Let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Discussion Urgent Request,"Hi Jennifer, I need your urgent assistance in getting a wire processed right away. Please let me know once it has been sent. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you please prioritize processing the wire transfer urgently? Your prompt action is highly appreciated. Thank you. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you process a wire transfer urgently? Please let me know. Bob",neutral,1,1,1,1,positive
Fwd: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once done. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our recent discussion, I have completed negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly notify me once the transfer has been initiated. Regards, Pam",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our phone conversation, I have concluded negotiations with the new vendor and it's imperative to process the wire transfer immediately. Kindly confirm once it has been initiated. Regards, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, I need your help in processing a wire transfer urgently. Please let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process a wire transfer urgently? Please confirm once done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process a wire transfer urgently for me? Please let me know. Bob",positive,1,1,1,1,positive
Forwarded: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Hi Jennifer, Could you kindly process a wire transfer urgently? Please let me know once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you kindly process the wire transfer urgently for me? Please confirm once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire urgently? Please confirm once done. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Hi Jennifer, Could you please process a wire transfer urgently? Let me know once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion,"Jennifer, Can you process a wire transfer urgently? Please reply as soon as possible. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our recent conversation, I have confirmed arrangements with the new vendor and require the wire transfer to be processed immediately. Kindly inform me once it has been completed. Best regards, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you please prioritize processing a wire transfer urgently? Let me know once it has been sent. Bob",positive,1,1,1,1,positive
Re: Urgent: Wire Transfer Request,"Hi Jennifer, Can you please process a wire transfer urgently? Let me know once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Hi Jennifer, Could you please process a wire transfer urgently? Please let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Processing Request,"Hi Jennifer, Can you please process a wire transfer urgently for me? Looking forward to your prompt response. Thank you, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Could you please process a wire transfer urgently? Please let me know once it's done. Thank you, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process this wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Hi Jennifer, Can you urgently process a wire transfer for me? Please get back to me as soon as possible. Thank you, Bob",positive,1,1,1,1,positive
FW: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Fwd: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once it has been sent. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process the wire transfer urgently? Let me know once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Let me know. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process this wire transfer urgently? Let me know once it's done. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire urgently? Please respond. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our phone conversation, I have completed negotiations with the new vendor and require the wire transfer to be processed immediately. Please confirm once it has been initiated. Best regards, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Processing,"Jennifer, Can you process a wire transfer urgently? Please confirm once completed. Thank you. Bob",positive,1,1,1,1,positive
Fwd: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
FW: Urgent Wire Transfer Request,"Jennifer, Can you please process a wire transfer urgently? Please confirm once it has been sent. Thank you. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you process a wire transfer urgently? Please let me know. Thanks, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Could you please process a wire transfer urgently? Looking forward to your prompt response. Thank you. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Processing Needed,"Jennifer, Can you process this wire urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Hi Jennifer, I urgently need a wire transfer to be processed immediately. Please let me know once it has been sent. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you please process a wire transfer urgently? Please confirm once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Fwd: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer immediately? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Processing,"Jennifer, Can you please prioritize processing this wire transfer urgently? Please confirm once completed. Thank you. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process a wire transfer urgently? Please confirm once completed. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our recent conversation, I have concluded negotiations with the new supplier and require the wire transfer to be processed immediately. Kindly confirm once it's been initiated. Regards, Pam",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you please prioritize processing a wire transfer urgently? Please confirm once it has been done. Thank you. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Processing,"Hi Jennifer, can you please process a wire transfer urgently? Let me know once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once done. Thank you. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Hi Jennifer, Can you process a wire transfer urgently for me? Please let me know. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you please process a wire transfer urgently? Let me know once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process the wire urgently? Please get back to me as soon as possible. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Hi Jennifer, can you please process a wire transfer urgently? Thanks, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Processing Request,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our recent conversation, I have concluded negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly confirm once it has been done. Regards, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process the wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Hi Jennifer, Can you please handle the wire transfer urgently? Let me know once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once it has been done. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once sent. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Processing Request,"Jennifer, Can you process a wire transfer urgently? Please confirm. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our discussion, I have concluded negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly inform me once it has been initiated. Best regards, Pam",positive,1,1,1,1,positive
RE: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our recent conversation, I have completed negotiations with the new vendor and require the wire transfer to be processed urgently. Kindly confirm once it has been initiated. Thank you, Pam",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you please prioritize getting the wire processed urgently? Looking forward to your prompt action. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once completed. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once sent. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm. Bob",positive,1,1,1,1,positive
Fwd: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once done. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our conversation, I have concluded discussions with the new vendor and I require the wire transfer to be processed immediately. Kindly notify me once completed. Thank you, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Jennifer, Can you process a wire transfer urgently? Let me know once it's done. Bob",positive,1,1,1,1,positive
Confirmation of Your Cell Number,"Hello Dakota, could you please confirm your cell number? I have an urgent task that needs to be completed as soon as possible. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Re-confirm cell #,"Hello Dakota, Can you please double-check your cell #? I have an urgent task that needs to be done promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Verify Cell Number,"Hello Dakota, Can you please confirm your cell number? I have an urgent task that needs to be completed quickly. I am looking forward to your response. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, I hope this email finds you well. Could you please provide me with your current cell number? I have an urgent task that needs to be completed and I look forward to your prompt response. Thank you.",positive,1,1,1,1,positive
Confirming Cell Number,"Hello Dakota, I wanted to verify your cell number. I have an urgent task that needs to be completed quickly. I am looking forward to hearing back from you. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Could you please double-check and confirm your cell phone number for me? I have an urgent task that needs to be completed promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number update request,"Hello Dakota, Could you please provide an update on your cell number? I have an urgent task that needs to be done promptly. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
confirmation needed,"Hello Dakota, Can you please confirm your cell #? I have an urgent task that needs to be completed quickly. I am looking forward to hearing back from you. Thank you.",positive,1,1,1,1,positive
Cell Number Confirmation,"Hello Dakota, Can you please confirm your cell number for me? I have an urgent task that needs to be done quickly. I am looking forward to hearing back from you. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Can you please confirm/update your cell number for me? I have an urgent task that needs to be completed as soon as possible. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Can you please double-check and confirm your cell number for me? I have an urgent task that needs to be completed promptly. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Could you please double check and confirm your cell number for me? I have an urgent task that needs to be completed quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Could you please confirm your cell number for me? I have an urgent task that needs to be done quickly and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Can you please confirm your cell number for me? I have an urgent task that needs to be completed promptly. I appreciate your assistance and await your response. Thank you.",positive,1,1,1,1,positive
cell number,"Hello Dakota, Could you please verify your cell number for me? I have an urgent task that needs to be completed promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell phone number update needed,"Hello Dakota, I hope you're doing well. Could you please double-check and update your cell phone number for me? I have an urgent task that needs to be completed as soon as possible. I appreciate your prompt attention to this matter. Thank you.",neutral,1,1,1,1,positive
cell number update,"Hello Dakota, Could you please update your cell number for me? I have an urgent task that needs to be done quickly and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell phone number update needed,"Hello Dakota, Can you please provide me with your updated cell phone number? There is an urgent task that needs to be completed. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell phone number confirmation needed,"Hello Dakota, Can you please confirm your cell phone number for me? I have an urgent task that needs to be completed as soon as possible. I look forward to hearing back from you. Thank you.",positive,1,1,1,1,positive
cell number,"Hello Dakota, Can you please double-check and confirm your cell number for me? I have an urgent task that needs to be done promptly and I am eager to receive your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Can you please confirm your cell number for me? I have an urgent task that needs to be completed quickly and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Could you please verify your cell number for me? I have an urgent task that needs to be completed promptly. I appreciate your cooperation and anticipate my next correspondence. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Could you please double-check your cell phone number for me? I have an urgent task that needs to be completed as soon as possible. I am excited to receive your response. Thank you.",neutral,1,0,1,1,neutral
cell number confirmation needed,"Hello Dakota, I need you to kindly re-confirm your cell number. There is a task that needs to be done urgently and I am looking forward to my next email. Thank you.",neutral,1,1,1,1,positive
cell phone number update,"Hello Dakota, Could you please provide me with your updated cell phone number? I have an urgent task that needs to be completed promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Could you please double check your cell phone number for me? I have an urgent task that needs to be completed as soon as possible and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Cell # Confirmation Needed,"Hello Dakota, Can you please confirm your cell # with me? I have an urgent task that needs to be completed promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Could you please double-check your cell phone number for me? I have an urgent task that needs to be completed promptly and I am eager to receive your response. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Can you please confirm your cell phone number for me? I have an urgent task that needs to be completed quickly. I am excited to receive your response. Thank you.",positive,1,0,1,1,neutral
cell number confirmation needed,"Hello Dakota, Could you please double-check and confirm your cell number for me? I have an urgent task that needs to be completed promptly. I appreciate your help and await your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Could you please confirm your cell number? I have an urgent task that needs to be completed quickly. I look forward to hearing back from you. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Can you please double-check and confirm your cell phone number? I have an urgent task that needs to be done quickly and I am eager to receive your response. Thank you.",positive,1,1,1,1,positive
Update on your cell #,"Hello Dakota, Can you please confirm your cell # once more? I have an urgent task that needs to be completed soon and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
confirmation needed for cell #,"Hello Dakota, Can you please confirm your cell # at your earliest convenience? I have an urgent task that needs to be completed soon. Thank you and I am looking forward to hearing from you.",positive,1,0,1,1,neutral
cell phone number,"Hello Dakota, Could you please verify your cell phone number for me? I have an urgent task that needs to be completed quickly and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell phone number confirmation needed,"Hello Dakota, Could you please verify your cell phone number for me? I have an urgent task that needs to be done quickly and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Can you please provide me with your most up-to-date cell number? I have an urgent task that needs to be completed quickly. Thank you and I await your response.",neutral,1,1,1,1,positive
Cell Number Confirmation,"Hello Dakota, Can you please confirm your cell number? I have a task that needs to be completed urgently and I am looking forward to hearing from you. Thank you.",neutral,1,1,1,1,positive
Re-confirm cell #,"Hello Dakota, Kindly verify your cell # again, I have an urgent task that needs to be completed quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Could you please confirm your cell number for me? I have an urgent task that needs to be completed as soon as possible. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Can you please re-confirm your cell number for me? I have an urgent task that needs to be completed quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Could you please provide me with your cell number again for confirmation? It's urgent as I have a task that needs to be done promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Confirming Cell #,"Hello Dakota, Can you please confirm your cell number for me? I have an urgent task that needs to be done quickly. I appreciate your prompt response. Thank you.",neutral,1,1,1,1,positive
cell phone number,"Hello Dakota, Could you please double-check the cell phone number you provided? I have an urgent task that needs to be completed promptly. I am eager to receive your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Can you please verify your cell number for me? I have an urgent task that needs to be completed promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Kindly re-confirm your cell phone number, I need a task done as soon as possible and look forward to my next email. Thanks",positive,1,1,1,1,positive
urgent: cell #,"Hello Dakota, I urgently need you to re-confirm your cell #. I have an important task that needs to be done as soon as possible. I look forward to your prompt response. Thank you.",positive,1,1,1,1,positive
cell phone number update,"Hello Dakota, Kindly re-confirm your cell phone number, I need a task done as soon as possible and look forward to my next email. Thanks",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Can you please provide an update on your cell number? I have an urgent task that needs to be completed quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Can you please verify your cell number for me? There is an urgent task that needs to be completed quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number confirmation needed,"Hello Dakota, Can you please confirm your cell number for me? I have an urgent task that needs to be done quickly. I appreciate your prompt response. Thank you.",neutral,1,1,1,1,positive
cell number update,"Hello Dakota, Could you please update your cell number for me? I have an urgent task that needs to be done as soon as possible and I am looking forward to my next email. Thank you.",positive,1,1,1,1,positive
Cell Number Confirmation,"Hello Dakota, Can you please confirm your cell number? I have an urgent task that needs to be done quickly. I am looking forward to your response. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, I noticed that your cell number might need an update. Could you please confirm your current cell number? I have an urgent task that needs to be completed promptly and I am looking forward to your response. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Can you please confirm your cell phone number? I have an urgent task that needs to be done promptly. I am eagerly awaiting your response. Thank you",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Could you please provide me with your updated cell number? I have an urgent task that needs to be completed soon. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell phone number,"Hello Dakota, Kindly verify your cell phone number, I need a task done as soon as possible and look forward to my next email. Thanks",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Could you please confirm or update your cell number for me? I have an urgent task that needs to be completed quickly. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell number update,"Hello Dakota, Can you please update your cell number? I have an urgent task that needs to be done quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number update,"Hello Dakota, Could you please verify and update your cell number? I have an urgent task that needs to be done quickly and I am looking forward to hearing back from you. Thank you.",neutral,1,1,1,1,positive
Re-confirmation of cell #,"Hello Dakota, Can you please re-confirm your cell #? I have an urgent task that needs to be done as soon as possible. I am looking forward to receiving your next email. Thank you.",positive,1,1,1,1,positive
cell number,"Hello Dakota, Can you please confirm your cell number again? I have an urgent task that needs to be done promptly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number update needed,"Hello Dakota, Can you please verify and update your cell number for me? It's important for a task that needs to be done urgently. I appreciate your prompt response. Thank you.",positive,1,1,1,1,positive
cell number update,"Hello Dakota, Can you please verify and update your cell number for me? I have an urgent task that needs to be completed quickly. I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
cell number update,"Hello Dakota, Could you please provide me with your current cell number for updating our records? I have an urgent task that needs to be completed quickly and I am eagerly awaiting your response. Thank you.",positive,1,1,1,1,positive
Urgent: Invoice from Vendor,"Sue, Urgent matter, I need your assistance with a pending invoice from our Vendor. I have requested a copy of the invoice via email. Can you handle this before the end of the day? I appreciate your help. Robert",positive,1,1,1,1,positive
Urgent: Invoice from Vendor Needs Attention,"Hi Sue, Do you have a moment to help me out? I'm currently in a meeting and we have a pending invoice from our Vendor that needs to be taken care of. I've requested them to email me a copy of the invoice. I would greatly appreciate it if you could handle this before the end of the banking transactions today. I won't be able to take calls at the moment, so please communicate via email. Thanks, Robert",positive,1,1,1,1,positive
Urgent: Action Required - Pending Invoice from Vendor,"Sue, I hope this email finds you well. I urgently need your assistance with a pending invoice from our Vendor. I am currently in a meeting and unable to attend to it myself. The Vendor has been notified to send a copy of the invoice to my email. Your prompt attention to this matter before the end of today's banking transactions would be greatly appreciated. Due to my current unavailability, kindly communicate via email. Thank you for your support. Robert",positive,1,1,1,1,positive
Urgent: Requesting Immediate Attention,"Sue, I hope you are doing well. I urgently need your assistance with a pending invoice from our Vendor. I am currently in a meeting and unable to make calls, so it would be greatly appreciated if you could handle this matter before the end of the day. I have requested the Vendor to email me a copy of the invoice. Thank you for your prompt attention to this matter. Kind regards, Robert",positive,1,1,1,1,positive
Urgent: Request for Immediate Action,"Sue, Urgent! Do you have a moment? I am currently in a meeting and there is an important task that requires your attention. We have an outstanding invoice from our Vendor. I have requested them to send me a copy of the invoice via email. It would be greatly appreciated if you could handle this matter before the end of the banking day. I am unable to take any calls at the moment, so please communicate via email. Thank you, Robert",positive,1,1,1,1,positive
Urgent: Need your assistance with pending invoice,"Sue, I hope this message finds you well. I urgently need your help with a pending invoice from our Vendor. Due to a meeting, I won't be able to handle it myself, and I have requested a copy of the invoice via email. It would be greatly appreciated if you could take care of this before the end of the day. As I am unable to take calls at the moment, please communicate via email. Thank you for your assistance. Robert",positive,1,1,1,1,positive
Urgent: Request for Immediate Attention,"Sue, I urgently need your assistance with a pending invoice from our Vendor. I'm currently in a meeting and unable to take calls. Could you kindly handle this before the close of banking transactions today? Your prompt help would be greatly appreciated. Please respond via email. Thank you, Robert",positive,1,1,1,1,positive
Urgent: Request for Assistance Needed,"Sue, I hope you are doing well. I urgently need your help with a pending invoice from our Vendor. I am currently tied up in a meeting and won't be able to handle it myself. I have requested them to email me a copy of the invoice, but I would appreciate it if you could take care of it before the end of the day. As I am unable to take calls at the moment, please communicate via email. Thank you for your assistance. Robert",positive,1,1,1,1,positive
Urgent Request for Invoice Handling,"Sue, can you assist me with handling the pending invoice from our Vendor? I'm currently in a meeting and unable to make calls at the moment. I've requested a copy of the invoice via email. Your prompt attention to this matter before the end of the banking day would be greatly appreciated. Thank you, Robert.",positive,1,1,1,1,positive
